name,affiliation,email_domain,interests,citedby,scholar_id
Meital Reches,The Hebrew University,@mail.huji.ac.il,"['force spectroscopy', 'bacterial adhesion', 'biofouling', 'peptide self-assembly']",10162,EeLtgR8AAAAJ
Michael P. Schultz,"Professor, Naval Arch. & Ocean Eng. Dept., US Naval Academy",@usna.edu,"['Turbulence', 'Experimental Fluid Mechanics', 'Experimental Fluid Dynamics', 'Biofouling', 'Ocean Engineering']",8781,_Nhf4R8AAAAJ
Sergey Dobretsov,"Sultan Qaboos University, College of Agriculture, Centre of Excellence in Marine …",@squ.edu.om,"['Marine Biotechnology', 'Chemical Ecology', 'Marine Natural Products', 'Biofouling', 'Marine Microbiology']",8671,meIxUqMAAAAJ
Moshe Herzberg,"Professor, Ben-Gurion University of the Negev",@bgu.ac.il,"['Biofilms', 'Biofouling']",6088,nDdBDJQAAAAJ
Wen-Yih Chen,National Central University,@ncu.edu.tw,"['biosensor', 'thermodynamics', 'molecular recognition', 'chromatography', 'biofouling']",5914,UXjWGsUAAAAJ
Ronald r Price,glen muir technologies inc,,"['nanotechnology', 'biofouling', 'bioplastics', 'halloysite']",5769,td3dQ2YAAAAJ
Professor Nathalie Bourgougnon,"Université de Bretagne Sud, Laboratoire de Biotechnologie et Chimie Marines",@univ-ubs.fr,"['Marine biotechnology', 'Seaweed', 'Biofouling', 'antiviral', 'Marine Algae']",5236,0_LDGF4AAAAJ
Iñigo J. Losada,"Professor of Civil Engineering,  “IHCantabria”, Universidad de Cantabria",@unican.es,"['Coastal Engineering', 'Ocean Engineering', 'Climate Change', 'Marine Renewables', 'Civil Engineering']",30987,9EtVi2wAAAAJ
Robert A. Dalrymple,"Willard and Lillian Hackerman Professor Emeritus, Civil Engineering, Johns Hopkins …",@jhu.edu,"['coastal engineering', 'water waves']",24074,6C-gVdwAAAAJ
Philip LF. Liu,National University of Singapore,@nus.edu.sg,"['Coastal Engineering', 'water waves', 'coastal processes', 'tsunamis', 'coastal oceanography']",23403,Xs4JPWwAAAAJ
jorgen fredsoe,Prof. DTU,@mek.dtu.dk,"['Coastal Engineering', 'River Engineering', 'Offshore Engineering', 'Sediment Transport', 'Morphodynamics']",22969,r4qH-sIAAAAJ
James T Kirby,"EC Davis Professor of Civil Engineering, University of Delaware",@udel.edu,"['Physical Oceanography', 'Coastal Engineering']",20125,4_ChX5UAAAAJ
Costas Synolakis,"University of Southern California, Academy of Athens, Technical University of Crete",@usc.edu,"['coastal engineering', 'tsunamis', 'marine sciences', 'earthquakes', 'coastal erosion']",15932,Z5AxUbAAAAAJ
B. Mutlu Sumer,"Professor, BM SUMER Consultancy & Research",@bmsumer.com,"['coastal engineering', 'offshore engineering', 'hydraulics', 'turbulence sediment-transport scour', 'liquefaction']",15755,F3JYGzkAAAAJ
Dano JA Roelvink,"Professor of Coastal Engineering and Port Development, IHE Delft",@un-ihe.org,"['Coastal engineering', 'coastal morphology', 'numerical modeling']",15604,2n1IRXEAAAAJ
stephen monismith,"Professor of Civil and Environmental Engineering, Stanford University",@stanford.edu,"['Fluid mechanics', 'Physical Oceanography', 'Limnology', 'Coastal engineering']",14132,JKR4krMAAAAJ
QIN J CHEN,"Professor of Civil and Environmental Engineering, Louisiana State University",@lsu.edu,"['Coastal Engineering', 'Coastal Hydrodynamics', 'Nearshore Sediment Transport', 'Coastal Hazard Prediction and Mitigation', 'HPC']",13405,OnWwIh0AAAAJ
LIANG WANG,Tsinghua University,@mail.tsinghua.edu.cn,"['Fluid mechanics', 'Computational fluid dynamics']",140754,4LV7HnAAAAAJ
