name,affiliation,email_domain,interests,citedby,scholar_id
np suh,"Cross Professor, Emeritus, MIT & President (2006-2013), KAIST",@mit.edu,"['mechanical engineering', 'design', 'manufacturing', 'tribology', 'polymer processing']",38340,mVqr5KQAAAAJ
Karl Ulrich,CIBC Endowed Professor,@wharton.upenn.edu,"['innovation', 'entrepreneurship', 'product development', 'design', 'China']",36048,boZIGjQAAAAJ
Martin Bendsoe,DTU - Technical University of Denmark,@dtu.dk,"['Applied mathematics', 'mechanics', 'design', 'design optimization']",35753,YM7mTkwAAAAJ
Raj Kumar,"Mechanical Engineering,kluniversity",,"['design', 'automobile', 'ansys']",33856,bZh2NZAAAAAJ
Isabel Teixeira,"INESC-ID, Instituto Superior Técnico, Universidade Técnica de Lisboa",,"['Microelectronics', 'Design', 'Test and Reliability']",29323,adE6OswAAAAJ
Wallace S. Broecker  (1931 - 2019),"Newberry Professor, Lamont-Doherty Earth Observatory (LDEO), Columbia University",@ldeo.columbia.edu,"['Climate', 'Climate change', 'Geology', 'Oceanography', 'Paleoclimate']",81666,LmaL6okAAAAJ
Letizia Lusito,Inside Climate Service,@inclimateservice.com,"['Hydrological Modelling', 'Climate analysis', 'Statistics', 'Programming', 'Oceanography']",81372,RI1dI3sAAAAJ
Scott Doney,"Professor, Dept. Environmental Sciences, University of Virginia",@virginia.edu,"['Oceanography', 'Biogeochemistry', 'Marine Ecology', 'Climate', 'Carbon Cycle']",79167,PZq3DmAAAAAJ
Martin Heimann,"Max-Planck-Institute for Biogeochemistry, Jena, Germany",@bgc-jena.mpg.de,"['Meteorology', 'Carbon Cycle', 'Oceanography', 'Atmospheric Transport', 'Biogeochemistry']",66421,jWwJacMAAAAJ
David Karl,University of Hawaii,@hawaii.edu,"['microbiology', 'oceanography', 'earth sciences', 'biogeochemistry']",65897,F3qZlQ0AAAAJ
Edouard Bard,"Professor at Collège de France, CEREGE, Aix Marseille Univ, CNRS, IRD, INRA",@cerege.fr,"['climate', 'oceanography', 'paleoclimatology', 'paleoceanography', 'geochemistry']",64112,qOkHfWEAAAAJ
Jorge L Sarmiento,"Professor of Geosciences, Princeton University",@princeton.edu,['oceanography'],61159,zf-JOigAAAAJ
Nicolas Gruber,ETH Zurich,@env.ethz.ch,"['climate change', 'carbon cycle', 'nitrogen cycle', 'ocean acidification', 'oceanography']",56140,vSD9i7kAAAAJ
J. Xavier Prochaska,UC Santa Cruz,@ucolick.org,"['Astronomy', 'AI', 'Oceanography', 'Tennis']",55905,04fD24sAAAAJ
Donald E. Canfield,University of Southern Denmark,@biology.sdu.dk,"['oxygen', 'evolution', 'oceanography', 'geobiology', 'biogeochemistry']",55586,XEgOot4AAAAJ
Yann LeCun,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York …",@cs.nyu.edu,"['AI', 'machine learning', 'computer vision', 'robotics', 'image compression']",286899,WLN3QrAAAAAJ
Sebastian Thrun,Stanford,@stanford.edu,"['Artificial Intelligence', 'Robotics']",137505,7K34d7cAAAAJ
Vincent Vanhoucke,"Distinguished Scientist, Google",@google.com,"['Robotics', 'Machine Learning', 'Computer Vision', 'Speech Recognition']",134625,T7uctwYAAAAJ
Peter E. Hart,Consultant,@peterhart.net,"['information theory', 'computer science', 'robotics', 'computer vision', 'pattern classification']",132663,EmP8sFQAAAAJ
Thomas Brox,University of Freiburg and Amazon,@cs.uni-freiburg.de,"['Computer Vision', 'Machine Learning', 'Artificial Intelligence', 'Robotics']",111856,0VAe-TQAAAAJ
Shankar Sastry,University of California,@berkeley.edu,"['robotics', 'control', 'hybrid systems', 'cyber security', 'embedded systems']",110412,KgZxzjsAAAAJ
Leonidas Guibas,"Professor of Computer Science, Stanford University",@cs.stanford.edu,"['geometric computing', 'computer vision', 'computer graphics', 'machine learning', 'robotics']",105946,5JlEyTAAAAAJ
Pieter Abbeel,UC Berkeley | Covariant.AI,@cs.berkeley.edu,"['Robotics', 'Machine Learning', 'AI']",103212,vtwH6GkAAAAJ
Wolfram Burgard,"Professor of Computer Science, Technical University of Nuremberg",@utn.de,"['Robotics', 'Artificial Intelligence', 'AI', 'Machine Learning', 'Computer Vision']",102801,zj6FavAAAAAJ
Dragomir Anguelov,"Distinguished Researcher, Waymo",@cs.stanford.edu,"['machine learning', 'computer vision', 'robotics', 'graphics', 'prediction']",93317,T04c3fwAAAAJ
